team_id,league_id,season,position,points,played,wins,draws,losses,goals_for,goals_against,goal_diff,win_rate,goals_per_match,home_wins,away_wins,injury_count,shots_total,shots_on_goal,shots_off_goal,shots_blocked,shots_inside_box,shots_outside_box,fouls_committed,fouls_drawn,corners_taken,offsides,ball_possession_avg,yellow_cards,red_cards,passes_total,passes_accurate,passes_accuracy_pct,passes_key,attacks_total,attacks_dangerous,goalkeeper_saves,goalkeeper_saves_pct,venue_id,venue_name,venue_capacity,coach_id,coach_name,coach_nationality,team_formation_most_used,avg_team_age,home_shots_avg,away_shots_avg,home_possession_avg,away_possession_avg,home_corners_avg,away_corners_avg,home_cards_avg,away_cards_avg,top_scorer_goals,top_scorer_assists,top_scorer_rating,squad_market_value,squad_avg_age,squad_foreign_players,players_injured_current,players_suspended_current,last_5_matches_wins,last_5_matches_goals_for,last_5_matches_goals_against,form_trend,matches_clean_sheets,matches_failed_to_score,recent_match_possession,recent_match_shots,recent_match_corners,recent_match_cards,recent_match_fouls,recent_match_offsides,recent_match_lineup_changes,recent_match_substitutions,avg_odds_win,avg_odds_draw,avg_odds_lose,bookmaker_confidence,prediction_accuracy_score
543,140,2025,5,4,2,1,1,0,2,1,1,0.5,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.532500000000001,0.0,28.0,20.0,0.0,0.0,1.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
728,140,2025,6,3,1,1,0,0,3,1,2,1.0,3.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.67,0.0,28.2,20.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
533,140,2025,1,6,2,2,0,0,7,0,7,1.0,3.5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,3.0,1.0,5.885,0.0,25.9,20.0,0.0,0.0,2.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
546,140,2025,7,3,1,1,0,0,2,0,2,1.0,2.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,546.0,Elland Road,40204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,3.0,2.0,4.5024999999999995,0.0,25.35,20.0,0.0,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
531,140,2025,8,3,1,1,0,0,3,2,1,1.0,3.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.494999999999999,0.0,26.8,20.0,0.0,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
540,140,2025,4,4,2,1,1,0,4,3,1,0.5,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,2.0,1.0,5.44,0.0,26.65,19.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
541,140,2025,3,6,2,2,0,0,4,0,4,1.0,2.0,1,1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,2.0,5.629500000000001,0.0,25.15,18.0,0.0,0.0,2.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
542,140,2025,9,3,2,1,0,1,2,2,0,0.5,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.442499999999999,0.0,27.2,20.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
797,140,2025,12,2,2,0,2,0,2,2,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.7925,0.0,25.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
532,140,2025,14,1,2,0,1,1,1,2,-1,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,47.5,0.0,0.0,0.0,0.0,1.0,1.0,5.6225000000000005,0.0,26.6,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.2,3.8,0.7,0.0
